Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Total_Sales
2023-01-01,Speaker,Central,Frank,1,1761.02,1761.02
2023-01-01,Monitor,Central,Bob,19,1902.83,36153.77
2023-01-01,Monitor,East,Eve,18,969.61,17452.98
2023-01-01,Phone,Central,Bob,19,1631.66,31001.54
2023-01-01,Mouse,Central,Charlie,3,575.79,1727.37
2023-01-01,Tablet,North,Diana,15,209.1,3136.5
2023-01-01,Keyboard,Central,Eve,17,77.9,1324.3000000000002
2023-01-01,Headphones,Central,Diana,2,208.1,416.2
2023-01-01,Speaker,West,Alice,4,1686.39,6745.56
2023-01-01,Phone,East,Frank,3,1022.13,3066.39
2023-01-02,Keyboard,Central,Grace,16,1010.26,16164.16
2023-01-02,Headphones,East,Henry,17,1488.95,25312.15
2023-01-02,Keyboard,East,Alice,11,1881.89,20700.79
2023-01-02,Laptop,West,Eve,3,1069.51,3208.5299999999997
2023-01-02,Tablet,South,Bob,4,266.74,1066.96
2023-01-02,Speaker,Central,Bob,10,823.86,8238.6
2023-01-03,Keyboard,West,Frank,6,1093.5,6561.0
2023-01-03,Monitor,Central,Frank,19,1416.31,26909.89
2023-01-03,Mouse,South,Eve,3,841.71,2525.13
2023-01-03,Keyboard,North,Henry,8,1727.72,13821.76
2023-01-03,Speaker,North,Charlie,1,494.93,494.93
2023-01-03,Mouse,South,Charlie,3,1853.24,5559.72
2023-01-03,Headphones,South,Diana,3,1129.31,3387.93
2023-01-03,Laptop,North,Henry,15,1878.42,28176.300000000003
2023-01-04,Tablet,North,Alice,4,938.63,3754.52
2023-01-04,Phone,East,Henry,5,1194.28,5971.4
2023-01-04,Keyboard,South,Eve,8,1609.14,12873.12
2023-01-05,Monitor,South,Charlie,15,119.83,1797.45
2023-01-05,Headphones,West,Grace,12,1560.39,18724.68
2023-01-05,Mouse,East,Frank,2,1389.1,2778.2
2023-01-05,Tablet,Central,Frank,8,196.75,1574.0
2023-01-05,Keyboard,North,Henry,19,1422.77,27032.63
2023-01-05,Monitor,Central,Eve,14,1240.3,17364.2
2023-01-06,Monitor,Central,Alice,19,1505.3,28600.7
2023-01-06,Tablet,West,Alice,2,1749.91,3499.82
2023-01-07,Keyboard,South,Eve,13,1886.3,24521.899999999998
2023-01-07,Phone,North,Diana,5,1370.43,6852.150000000001
2023-01-07,Phone,South,Bob,14,509.73,7136.22
2023-01-07,Mouse,South,Alice,3,1915.7,5747.1
2023-01-07,Speaker,South,Frank,3,1178.02,3534.06
2023-01-07,Laptop,North,Grace,14,1917.33,26842.62
2023-01-07,Laptop,West,Bob,16,1522.11,24353.76
2023-01-07,Speaker,North,Charlie,2,1817.73,3635.46
2023-01-07,Speaker,North,Henry,8,1253.3,10026.4
2023-01-08,Laptop,North,Alice,5,1562.06,7810.299999999999
2023-01-08,Speaker,Central,Henry,4,1123.48,4493.92
2023-01-08,Tablet,North,Charlie,11,1569.24,17261.64
2023-01-08,Keyboard,North,Henry,19,660.19,12543.61
2023-01-08,Speaker,East,Eve,8,63.9,511.2
2023-01-08,Speaker,Central,Henry,6,1158.74,6952.4400000000005
2023-01-08,Speaker,West,Henry,2,1944.03,3888.06
2023-01-08,Keyboard,West,Charlie,11,819.94,9019.34
2023-01-08,Tablet,North,Grace,12,1105.54,13266.48
2023-01-09,Tablet,East,Eve,18,1957.54,35235.72
2023-01-09,Tablet,West,Charlie,14,275.88,3862.3199999999997
2023-01-09,Phone,West,Frank,13,1504.92,19563.96
2023-01-10,Tablet,East,Bob,8,422.54,3380.32
2023-01-10,Monitor,South,Charlie,1,1965.41,1965.41
2023-01-10,Phone,North,Bob,14,155.25,2173.5
2023-01-10,Phone,South,Bob,19,1266.86,24070.339999999997
2023-01-10,Monitor,East,Diana,8,154.0,1232.0
2023-01-10,Headphones,East,Alice,16,1295.32,20725.12
2023-01-10,Keyboard,West,Eve,12,1674.72,20096.64
2023-01-10,Keyboard,Central,Eve,5,832.09,4160.45
2023-01-10,Phone,East,Grace,5,1053.17,5265.85
2023-01-11,Monitor,Central,Grace,19,1339.63,25452.97
2023-01-11,Tablet,North,Grace,5,1779.52,8897.6
2023-01-11,Speaker,West,Frank,14,741.2,10376.800000000001
2023-01-11,Keyboard,South,Bob,19,411.04,7809.76
2023-01-11,Mouse,North,Alice,2,1170.68,2341.36
2023-01-12,Phone,East,Charlie,11,1570.0,17270.0
2023-01-12,Phone,North,Diana,19,221.9,4216.1
2023-01-12,Headphones,South,Henry,4,1467.83,5871.32
2023-01-12,Tablet,West,Eve,1,1363.63,1363.63
2023-01-12,Mouse,West,Frank,2,1682.44,3364.88
2023-01-12,Laptop,East,Diana,8,1371.46,10971.68
2023-01-12,Mouse,Central,Eve,19,1291.43,24537.170000000002
2023-01-12,Keyboard,East,Alice,7,1103.21,7722.47
2023-01-12,Mouse,South,Frank,2,1408.5,2817.0
2023-01-12,Headphones,Central,Eve,19,1809.78,34385.82
2023-01-12,Phone,West,Frank,5,787.16,3935.7999999999997
2023-01-12,Laptop,West,Henry,2,1237.68,2475.36
2023-01-12,Phone,North,Frank,15,1448.38,21725.7
2023-01-13,Speaker,South,Diana,6,1468.79,8812.74
2023-01-13,Tablet,West,Henry,10,1439.17,14391.7
2023-01-13,Keyboard,East,Diana,9,1271.41,11442.69
2023-01-13,Headphones,West,Eve,2,735.06,1470.12
2023-01-13,Headphones,North,Alice,4,1652.26,6609.04
2023-01-13,Headphones,North,Charlie,19,1433.06,27228.14
2023-01-13,Monitor,East,Diana,13,227.92,2962.96
2023-01-13,Laptop,South,Charlie,16,255.66,4090.56
2023-01-13,Speaker,West,Alice,12,1694.36,20332.32
2023-01-14,Tablet,Central,Bob,15,661.15,9917.25
2023-01-14,Mouse,North,Henry,4,1574.28,6297.12
2023-01-14,Laptop,North,Grace,19,547.86,10409.34
2023-01-14,Phone,East,Bob,8,1711.66,13693.28
2023-01-14,Laptop,South,Frank,16,249.71,3995.36
2023-01-14,Keyboard,West,Alice,2,597.51,1195.02
2023-01-15,Keyboard,Central,Diana,11,731.48,8046.280000000001
2023-01-15,Laptop,East,Frank,6,1313.83,7882.98
2023-01-15,Headphones,East,Eve,10,1578.72,15787.2
2023-01-15,Laptop,West,Grace,11,171.38,1885.1799999999998
2023-01-15,Tablet,East,Grace,15,700.52,10507.8
2023-01-15,Mouse,South,Eve,2,75.4,150.8
2023-01-16,Monitor,South,Bob,2,578.12,1156.24
2023-01-16,Phone,West,Bob,1,653.15,653.15
2023-01-16,Monitor,Central,Henry,3,925.04,2775.12
2023-01-16,Headphones,North,Charlie,8,1864.15,14913.2
2023-01-16,Headphones,South,Eve,14,1181.38,16539.32
2023-01-17,Keyboard,South,Frank,11,797.85,8776.35
2023-01-17,Speaker,East,Alice,9,1914.98,17234.82
2023-01-17,Keyboard,Central,Eve,2,1699.63,3399.26
2023-01-17,Monitor,West,Charlie,9,1697.97,15281.73
2023-01-17,Laptop,Central,Grace,3,1481.31,4443.93
2023-01-17,Monitor,West,Eve,18,1367.84,24621.12
2023-01-17,Phone,Central,Eve,1,1351.43,1351.43
2023-01-17,Mouse,North,Eve,16,1113.24,17811.84
2023-01-17,Headphones,East,Bob,2,134.76,269.52
2023-01-17,Tablet,West,Henry,13,1570.53,20416.89
2023-01-17,Mouse,West,Alice,18,626.53,11277.539999999999
2023-01-17,Headphones,Central,Charlie,19,1272.27,24173.13
2023-01-18,Phone,Central,Grace,3,215.32,645.96
2023-01-18,Phone,West,Frank,1,234.24,234.24
2023-01-18,Monitor,North,Charlie,1,1326.95,1326.95
2023-01-19,Keyboard,South,Grace,16,988.85,15821.6
2023-01-19,Laptop,East,Grace,14,979.35,13710.9
2023-01-19,Headphones,South,Eve,19,196.87,3740.53
2023-01-19,Speaker,West,Bob,4,691.28,2765.12
2023-01-19,Keyboard,Central,Diana,9,1262.56,11363.039999999999
2023-01-19,Keyboard,West,Eve,19,515.61,9796.59
2023-01-19,Tablet,West,Frank,2,393.39,786.78
2023-01-19,Tablet,East,Diana,16,970.09,15521.44
2023-01-19,Keyboard,East,Diana,18,1563.45,28142.100000000002
2023-01-19,Mouse,West,Eve,11,604.24,6646.64
2023-01-19,Laptop,West,Diana,2,221.32,442.64
2023-01-20,Speaker,North,Diana,7,917.68,6423.759999999999
2023-01-20,Laptop,West,Bob,13,1584.79,20602.27
2023-01-20,Phone,Central,Charlie,9,1359.1,12231.9
2023-01-20,Tablet,Central,Diana,5,1565.88,7829.400000000001
2023-01-20,Mouse,West,Eve,7,636.35,4454.45
2023-01-20,Monitor,East,Henry,7,1556.38,10894.66
2023-01-20,Phone,Central,Grace,18,1707.73,30739.14
2023-01-20,Mouse,West,Alice,8,1918.32,15346.56
2023-01-21,Mouse,Central,Eve,15,1978.75,29681.25
2023-01-21,Tablet,West,Diana,12,1233.76,14805.119999999999
2023-01-21,Monitor,North,Alice,13,525.35,6829.55
2023-01-21,Monitor,West,Grace,19,937.97,17821.43
2023-01-21,Mouse,Central,Charlie,4,1452.37,5809.48
2023-01-21,Phone,Central,Alice,3,1226.4,3679.2000000000003
2023-01-21,Mouse,East,Henry,18,315.89,5686.0199999999995
2023-01-21,Laptop,North,Diana,8,112.76,902.08
2023-01-22,Laptop,East,Frank,4,1485.66,5942.64
2023-01-22,Headphones,Central,Eve,14,1231.6,17242.399999999998
2023-01-22,Laptop,Central,Grace,18,1323.02,23814.36
2023-01-22,Keyboard,North,Frank,14,1026.52,14371.279999999999
2023-01-22,Monitor,South,Bob,8,1555.84,12446.72
2023-01-22,Phone,Central,Grace,14,690.0,9660.0
2023-01-22,Keyboard,West,Bob,3,718.66,2155.98
2023-01-22,Headphones,Central,Bob,19,1312.81,24943.39
2023-01-22,Tablet,West,Alice,14,1742.03,24388.42
2023-01-22,Speaker,East,Eve,14,1421.8,19905.2
2023-01-22,Tablet,West,Diana,18,1537.28,27671.04
2023-01-23,Laptop,Central,Charlie,1,801.58,801.58
2023-01-23,Laptop,East,Eve,10,624.14,6241.4
2023-01-23,Laptop,West,Alice,5,1184.3,5921.5
2023-01-23,Monitor,West,Grace,17,773.83,13155.11
2023-01-23,Headphones,South,Henry,19,1448.68,27524.920000000002
2023-01-23,Laptop,West,Henry,16,1929.43,30870.88
2023-01-23,Monitor,West,Diana,5,1805.79,9028.95
2023-01-23,Speaker,West,Frank,12,84.35,1012.1999999999999
2023-01-24,Monitor,Central,Diana,3,1379.28,4137.84
2023-01-25,Laptop,South,Charlie,2,715.75,1431.5
2023-01-25,Speaker,South,Alice,2,284.49,568.98
2023-01-25,Mouse,East,Bob,2,675.99,1351.98
2023-01-25,Speaker,Central,Bob,9,94.95,854.5500000000001
2023-01-25,Laptop,North,Henry,9,84.7,762.3000000000001
